,song_data,audio_feature,albums,artists
1qMMYpVatbRITKCfq1gasi,"{'id': '1qMMYpVatbRITKCfq1gasi', 'duration_ms': 172933, 'name': 'PUFFIN ON ZOOTIEZ', 'popularity': 82}","{'danceability': 0.883, 'energy': 0.657, 'loudness': -5.748, 'speechiness': 0.305, 'acousticness': 0.0603, 'instrumentalness': 0, 'liveness': 0.128, 'valence': 0.284, 'tempo': 124.992}","{'id': '6tE9Dnp2zInFij4jKssysL', 'name': 'I NEVER LIKED YOU', 'release_date': '2022-04-29'}","{'id': '1RyvyyTE3xzB2ZywiAwp0i', 'name': 'Future'}"
4lH6nENd1y81jp7Yt9lTBX,"{'id': '4lH6nENd1y81jp7Yt9lTBX', 'duration_ms': 265996, 'name': 'Solo', 'popularity': 82}","{'danceability': 0.784, 'energy': 0.486, 'loudness': -6.497, 'speechiness': 0.0475, 'acousticness': 0.0538, 'instrumentalness': 0.497, 'liveness': 0.101, 'valence': 0.0894, 'tempo': 110.964}","{'id': '7K6OykPbezfgKgBufihn6X', 'name': 'HNDRXX', 'release_date': '2017-07-27'}","{'id': '1RyvyyTE3xzB2ZywiAwp0i', 'name': 'Future'}"
1K5KBOgreBi5fkEHvg5ap3,"{'id': '1K5KBOgreBi5fkEHvg5ap3', 'duration_ms': 237918, 'name': 'Life Is Good (feat. Drake)', 'popularity': 75}","{'danceability': 0.795, 'energy': 0.574, 'loudness': -6.903, 'speechiness': 0.487, 'acousticness': 0.067, 'instrumentalness': 0, 'liveness': 0.15, 'valence': 0.537, 'tempo': 142.053}","{'id': '4bNPOFOzxGhF5jhfIK6lit', 'name': 'High Off Life', 'release_date': '2020-05-15'}","{'id': '1RyvyyTE3xzB2ZywiAwp0i', 'name': 'Future'}"
5YEOzOojehCqxGQCcQiyR4,"{'id': '5YEOzOojehCqxGQCcQiyR4', 'duration_ms': 246761, 'name': 'Panda', 'popularity': 71}","{'danceability': 0.576, 'energy': 0.766, 'loudness': -4.943, 'speechiness': 0.449, 'acousticness': 0.028, 'instrumentalness': 1.68e-06, 'liveness': 0.366, 'valence': 0.236, 'tempo': 144.833}","{'id': '0cHT4ll3sEPyFFWoFuibMl', 'name': 'New English', 'release_date': '2016-06-26'}","{'id': '7pFeBzX627ff0VnN6bxPR4', 'name': 'Desiigner'}"
3NJG6vMH1ZsectZkocMEm0,"{'id': '3NJG6vMH1ZsectZkocMEm0', 'duration_ms': 239853, 'name': 'Tiimmy Turner', 'popularity': 68}","{'danceability': 0.603, 'energy': 0.725, 'loudness': -3.054, 'speechiness': 0.0393, 'acousticness': 0.174, 'instrumentalness': 0, 'liveness': 0.0786, 'valence': 0.304, 'tempo': 122.803}","{'id': '7zf9kyxc3ZhJv79HrjTRir', 'name': 'Tiimmy Turner', 'release_date': '2016-07-22'}","{'id': '7pFeBzX627ff0VnN6bxPR4', 'name': 'Desiigner'}"
2nBI3iWLhupR7LyAJ5GGkE,"{'id': '2nBI3iWLhupR7LyAJ5GGkE', 'duration_ms': 334253, 'name': 'Champions', 'popularity': 66}","{'danceability': 0.692, 'energy': 0.774, 'loudness': -2.48, 'speechiness': 0.0876, 'acousticness': 0.0623, 'instrumentalness': 0, 'liveness': 0.873, 'valence': 0.349, 'tempo': 134.952}","{'id': '1xuSorM2dDIiB5zhftB5NY', 'name': 'Champions', 'release_date': '2016-06-10'}","{'id': '6Ha4aES39QiVjR0L2lwuwq', 'name': 'Yo Gotti'}"
72etwrPRuhvISzuCc9w81f,"{'id': '72etwrPRuhvISzuCc9w81f', 'duration_ms': 136176, 'name': 'PMR (feat. A Boogie wit da Hoodie)', 'popularity': 61}","{'danceability': 0.788, 'energy': 0.621, 'loudness': -6.48, 'speechiness': 0.289, 'acousticness': 0.163, 'instrumentalness': 0, 'liveness': 0.349, 'valence': 0.565, 'tempo': 135.033}","{'id': '64QGA3ueY3dG8RZvmolsgI', 'name': 'PMR (feat. A Boogie wit da Hoodie)', 'release_date': '2023-03-17'}","{'id': '7pFeBzX627ff0VnN6bxPR4', 'name': 'Desiigner'}"
0TGo5ZC5htwJBS9ZY41Uon,"{'id': '0TGo5ZC5htwJBS9ZY41Uon', 'duration_ms': 226520, 'name': 'Panda', 'popularity': 42}","{'danceability': 0.601, 'energy': 0.695, 'loudness': -5.811, 'speechiness': 0.394, 'acousticness': 0.0216, 'instrumentalness': 8.64e-06, 'liveness': 0.368, 'valence': 0.306, 'tempo': 101.566}","{'id': '49MjHFE7hMuwDDasSAcoDY', 'name': ""Class Of '16"", 'release_date': '2020-04-17'}","{'id': '7pFeBzX627ff0VnN6bxPR4', 'name': 'Desiigner'}"
0eoVAYAp4mq7UjT3WW8QMP,"{'id': '0eoVAYAp4mq7UjT3WW8QMP', 'duration_ms': 150909, 'name': 'Tiimmy Turner 2', 'popularity': 59}","{'danceability': 0.687, 'energy': 0.593, 'loudness': -9.105, 'speechiness': 0.0975, 'acousticness': 0.0464, 'instrumentalness': 0.00133, 'liveness': 0.131, 'valence': 0.306, 'tempo': 148.098}","{'id': '6Bgdg8odR8SfvQMZ6lptXQ', 'name': 'Tiimmy Turner 2', 'release_date': '2023-05-05'}","{'id': '7pFeBzX627ff0VnN6bxPR4', 'name': 'Desiigner'}"
2vwvGMStv1nEuoOTd4xgMu,"{'id': '2vwvGMStv1nEuoOTd4xgMu', 'duration_ms': 141613, 'name': 'Tiimmy Turner - Remix', 'popularity': 58}","{'danceability': 0.792, 'energy': 0.451, 'loudness': -6.473, 'speechiness': 0.101, 'acousticness': 0.211, 'instrumentalness': 0, 'liveness': 0.12, 'valence': 0.365, 'tempo': 122.997}","{'id': '73MJoBiMtICyyMp6hG58OQ', 'name': 'Tiimmy Turner (Remix)', 'release_date': '2016-10-14'}","{'id': '7pFeBzX627ff0VnN6bxPR4', 'name': 'Desiigner'}"
6E39QsoWB7JjphPF9xCQSN,"{'id': '6E39QsoWB7JjphPF9xCQSN', 'duration_ms': 268813, 'name': 'Outlet', 'popularity': 56}","{'danceability': 0.65, 'energy': 0.801, 'loudness': -2.178, 'speechiness': 0.0694, 'acousticness': 0.117, 'instrumentalness': 0.000231, 'liveness': 0.347, 'valence': 0.356, 'tempo': 124.123}","{'id': '6zxeL0GqKqGW1rowRUXedZ', 'name': 'Outlet', 'release_date': '2017-02-09'}","{'id': '7pFeBzX627ff0VnN6bxPR4', 'name': 'Desiigner'}"
