,artist_id,artist_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1grI9x4Uzos1Asx8JmRW6T,1grI9x4Uzos1Asx8JmRW6T,Lil' Keke,0.72,0.71,-6.2,0.32,0.06,0.0,0.26,0.61,136.28
1J6iGa2TNBDCrJzjsnI1a8,1J6iGa2TNBDCrJzjsnI1a8,Big Pokey,0.66,0.73,-5.85,0.21,0.17,0.0,0.35,0.6,138.64
0SDGEgp8DEGaudRPNxBttt,0SDGEgp8DEGaudRPNxBttt,J-Dawg,0.6,0.73,-5.0,0.31,0.09,0.0,0.17,0.5,131.14
3gMf6W34pyRBb7gRAMJgcl,3gMf6W34pyRBb7gRAMJgcl,Liveola,0.68,0.57,-9.29,0.41,0.08,0.0,0.19,0.53,129.87
3XrAzTPjxbjFTtrK8pVDiE,3XrAzTPjxbjFTtrK8pVDiE,King Kyle Lee,0.66,0.6,-7.61,0.22,0.16,0.0,0.23,0.33,112.29
1DisOtNFBsfGAuifnt4o8j,1DisOtNFBsfGAuifnt4o8j,Chino Grande,0.72,0.66,-5.9,0.18,0.17,0.02,0.23,0.48,103.03
3PcojHQE2TrCy0Kx9l94zp,3PcojHQE2TrCy0Kx9l94zp,Jasper Loco,0.73,0.76,-6.18,0.19,0.13,0.03,0.36,0.6,106.2
02jRR1SYNuUxXO6JNy0Lgz,02jRR1SYNuUxXO6JNy0Lgz,Rockers All Stars,0.71,0.53,-9.84,0.11,0.03,0.54,0.2,0.49,116.68
56rppq1ok2Q4ZsplcvPLxO,56rppq1ok2Q4ZsplcvPLxO,O.G. Playboy,0.87,0.59,-8.64,0.21,0.24,0.0,0.11,0.51,96.08
6TC6ZeVdvCuBSn32h5Msul,6TC6ZeVdvCuBSn32h5Msul,DJ Screw,0.8,0.51,-10.58,0.28,0.14,0.11,0.29,0.61,133.64
49rH1OsO47Bo2UibC6Se4Q,49rH1OsO47Bo2UibC6Se4Q,Botany Boyz,0.83,0.54,-8.69,0.26,0.09,0.0,0.2,0.57,114.84
7CcpQybrc9e4sv9zsrvJuA,7CcpQybrc9e4sv9zsrvJuA,Klondike Kat,0.71,0.66,-7.52,0.23,0.08,0.0,0.32,0.54,113.92
23LbwefIODbyGdRbAz3urj,23LbwefIODbyGdRbAz3urj,Yung Joc,0.77,0.6,-6.98,0.13,0.04,0.0,0.22,0.58,126.96
1JHdMI7wMEirtNqMaSazJ5,1JHdMI7wMEirtNqMaSazJ5,Sleepy Malo,0.74,0.67,-6.83,0.23,0.06,0.0,0.16,0.62,112.23
1iZKQiBqj5pk8EqIVRo9f6,1iZKQiBqj5pk8EqIVRo9f6,DTTX,0.67,0.68,-6.06,0.13,0.05,0.0,0.22,0.53,131.55
4psGUknTSXLKfT7wrdckRg,4psGUknTSXLKfT7wrdckRg,Baby Wicked,0.79,0.5,-8.32,0.18,0.22,0.01,0.1,0.57,126.93
36xkHMRleqc9rA5DxzqCZL,36xkHMRleqc9rA5DxzqCZL,Trae & Z-Ro,0.7,0.67,-6.84,0.23,0.1,0.0,0.14,0.6,111.48
1PwvRxEjk6zAFZLFP3Kmka,1PwvRxEjk6zAFZLFP3Kmka,Junior Delgado,0.77,0.5,-10.22,0.07,0.15,0.08,0.1,0.75,118.67
5V3IdaBfsAGZCPgpPAo0VZ,5V3IdaBfsAGZCPgpPAo0VZ,Lil Yogi,0.74,0.69,-7.71,0.26,0.23,0.0,0.24,0.56,118.45
2AT9sg0RsOjLd4gfu08Pg6,2AT9sg0RsOjLd4gfu08Pg6,Lil' O,0.79,0.67,-6.45,0.24,0.1,0.0,0.22,0.55,112.32
1sBkRIssrMs1AbVkOJbc7a,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,0.58,0.7,-5.33,0.2,0.07,0.0,0.21,0.39,121.68
4kM4KKtWYB7GVtAfKxE7pO,4kM4KKtWYB7GVtAfKxE7pO,Guerilla Maab,0.81,0.69,-8.09,0.21,0.25,0.0,0.2,0.7,128.25
0v7WNCZurx2vhb8vfmBuKi,0v7WNCZurx2vhb8vfmBuKi,Lil Gibby,0.8,0.52,-13.54,0.24,0.25,0.0,0.15,0.56,125.46
7ipr4gJAFLoygvGdGs667W,7ipr4gJAFLoygvGdGs667W,Willie D,0.82,0.62,-8.27,0.27,0.05,0.0,0.26,0.54,99.81
2OqENqJFXPORP4BUGnu2Qq,2OqENqJFXPORP4BUGnu2Qq,Youngbloodz,0.8,0.64,-7.61,0.28,0.03,0.0,0.24,0.53,109.79
0DZ3ZLg4hdZ2EZ2JsPorFj,0DZ3ZLg4hdZ2EZ2JsPorFj,Lil Felon,0.71,0.62,-7.91,0.2,0.48,0.0,0.14,0.78,154.95
