artist_id_index,artist_id,artist_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6Ha4aES39QiVjR0L2lwuwq,6Ha4aES39QiVjR0L2lwuwq,Yo Gotti,0.84,0.66,-6.11,0.24,0.03,0.0,0.26,0.44,135.42
3Y365ZqTf6fJ4ZcRnLKPGt,3Y365ZqTf6fJ4ZcRnLKPGt,Gorilla Zoe,0.76,0.71,-5.79,0.14,0.19,0.02,0.22,0.49,130.75
0WOxhx4hikIsyF3CRPLC8W,0WOxhx4hikIsyF3CRPLC8W,Famous Dex,0.76,0.67,-6.25,0.24,0.09,0.0,0.21,0.54,137.63
6f4XkbvYlXMH0QgVRzW0sM,6f4XkbvYlXMH0QgVRzW0sM,Waka Flocka Flame,0.72,0.63,-6.5,0.2,0.1,0.0,0.34,0.54,135.05
0NWbwDZY1VkRqFafuQm6wk,0NWbwDZY1VkRqFafuQm6wk,Mike WiLL Made-It,0.74,0.61,-5.81,0.11,0.15,0.02,0.22,0.24,136.67
5dHt1vcEm9qb8fCyLcB3HL,5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,0.77,0.76,-4.82,0.21,0.11,0.02,0.24,0.47,125.8
07d5etnpjriczFBB8pxmRe,07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid,0.63,0.62,-6.9,0.1,0.21,0.02,0.23,0.6,114.75
0CKa42Jqrc9fSFbDjePaXP,0CKa42Jqrc9fSFbDjePaXP,Big K.R.I.T.,0.74,0.68,-6.09,0.22,0.12,0.0,0.19,0.52,141.23
5einkgXXrjhfYCyac1FANB,5einkgXXrjhfYCyac1FANB,Lil Scrappy,0.74,0.68,-5.8,0.32,0.09,0.0,0.31,0.5,89.97
4pr7J7wzgObkE3DD3Izi7q,4pr7J7wzgObkE3DD3Izi7q,Young Buck,0.68,0.75,-4.77,0.22,0.14,0.0,0.18,0.59,111.83
6AMa1VFQ7qCi61tCRtVWXe,6AMa1VFQ7qCi61tCRtVWXe,Jim Jones,0.66,0.72,-6.0,0.32,0.16,0.0,0.23,0.52,113.14
7a9KRWdaSZktpGGnWndzbC,7a9KRWdaSZktpGGnWndzbC,Black Hippy,0.67,0.65,-7.75,0.35,0.2,0.0,0.31,0.45,112.2
3KV3p5EY4AvKxOlhGHORLg,3KV3p5EY4AvKxOlhGHORLg,Jeremih,0.66,0.51,-7.03,0.12,0.34,0.0,0.11,0.37,120.68
0VRj0yCOv2FXJNP47XQnx5,0VRj0yCOv2FXJNP47XQnx5,Quavo,0.81,0.64,-5.55,0.19,0.09,0.0,0.17,0.47,131.82
7c0XG5cIJTrrAgEC3ULPiq,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,0.65,0.67,-5.88,0.1,0.17,0.0,0.2,0.4,111.24
1pPmIToKXyGdsCF6LmqLmI,1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,0.72,0.63,-6.8,0.26,0.18,0.0,0.15,0.45,133.93
